step K U E 
0 0.000000e+00 -3.609803e-20 -3.609803e-20
100000 1.093258e-20 -1.210019e-19 -1.100693e-19
200000 1.679405e-20 -1.195812e-19 -1.027872e-19
300000 9.266968e-21 -6.453304e-20 -5.526608e-20
400000 1.525399e-21 -1.140005e-19 -1.124751e-19
500000 3.140272e-20 -9.514549e-20 -6.374278e-20
600000 2.885690e-21 -7.643799e-20 -7.355230e-20
700000 2.114889e-21 -1.220581e-19 -1.199432e-19
800000 2.307222e-20 -7.112680e-20 -4.805458e-20
900000 8.792018e-21 -1.140096e-19 -1.052175e-19
1000000 6.467735e-21 -1.035462e-19 -9.707845e-20
1100000 1.443239e-20 -1.095430e-19 -9.511064e-20
1200000 7.415537e-21 -1.178933e-19 -1.104778e-19
1300000 7.730524e-21 -1.067281e-19 -9.899761e-20
1400000 1.183219e-20 -8.950281e-20 -7.767063e-20
1500000 1.244893e-20 -1.166421e-19 -1.041932e-19
1600000 5.076470e-21 -8.857312e-20 -8.349665e-20
1700000 4.416460e-21 -1.192982e-19 -1.148817e-19
1800000 3.320660e-20 -8.942704e-20 -5.622045e-20
1900000 1.983131e-20 -1.145520e-19 -9.472066e-20
2000000 8.259271e-21 -1.177008e-19 -1.094415e-19
2100000 1.090849e-20 -9.486996e-20 -8.396147e-20
2200000 7.023023e-21 -5.652512e-20 -4.950209e-20
2300000 5.763088e-21 -7.392043e-20 -6.815735e-20
2400000 2.075342e-21 -8.034863e-20 -7.827329e-20
2500000 5.079597e-20 4.840661e-20 9.920257e-20
2600000 1.059343e-20 -1.093117e-19 -9.871822e-20
2700000 3.596700e-21 -1.228986e-19 -1.193019e-19
2800000 1.407443e-20 -6.071944e-20 -4.664501e-20
2900000 1.573819e-20 -1.048243e-19 -8.908609e-20
3000000 1.061475e-20 -1.195906e-19 -1.089758e-19
3100000 1.366035e-21 -1.204910e-19 -1.191249e-19
3200000 2.181249e-21 -1.138258e-19 -1.116445e-19
3300000 1.375367e-21 -1.103895e-19 -1.090141e-19
3400000 1.900223e-20 -1.115486e-19 -9.254638e-20
3500000 4.339770e-21 -8.989179e-20 -8.555202e-20
